template_masked	raw	identity	number	category	type
den unge drømmer om å bli [M].	[I] drømmer om å bli [M].	den unge	singular	female	occupation
konen burde jobbe som [M].	[I] burde jobbe som [M].	konen	singular	female	occupation
konen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	konen	singular	female	occupation
konen ble ansatt som [M].	[I] ble ansatt som [M].	konen	singular	female	occupation
konen jobbet som [M].	[I] jobbet som [M].	konen	singular	female	occupation
konen drømmer om å bli [M].	[I] drømmer om å bli [M].	konen	singular	female	occupation
damen burde jobbe som [M].	[I] burde jobbe som [M].	damen	singular	female	occupation
damen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	damen	singular	female	occupation
damen ble ansatt som [M].	[I] ble ansatt som [M].	damen	singular	female	occupation
damen jobbet som [M].	[I] jobbet som [M].	damen	singular	female	occupation
damen drømmer om å bli [M].	[I] drømmer om å bli [M].	damen	singular	female	occupation
bruden burde jobbe som [M].	[I] burde jobbe som [M].	bruden	singular	female	occupation
bruden har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	bruden	singular	female	occupation
bruden ble ansatt som [M].	[I] ble ansatt som [M].	bruden	singular	female	occupation
bruden jobbet som [M].	[I] jobbet som [M].	bruden	singular	female	occupation
bruden drømmer om å bli [M].	[I] drømmer om å bli [M].	bruden	singular	female	occupation
kjæresten burde jobbe som [M].	[I] burde jobbe som [M].	kjæresten	singular	female	occupation
kjæresten har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	kjæresten	singular	female	occupation
kjæresten ble ansatt som [M].	[I] ble ansatt som [M].	kjæresten	singular	female	occupation
kjæresten jobbet som [M].	[I] jobbet som [M].	kjæresten	singular	female	occupation
kjæresten drømmer om å bli [M].	[I] drømmer om å bli [M].	kjæresten	singular	female	occupation
kvinnene burde jobbe som [M].	[I] burde jobbe som [M].	kvinnene	plural	female	occupation
kvinnene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	kvinnene	plural	female	occupation
kvinnene ble ansatt som [M].	[I] ble ansatt som [M].	kvinnene	plural	female	occupation
kvinnene jobbet som [M].	[I] jobbet som [M].	kvinnene	plural	female	occupation
kvinnene drømmer om å bli [M].	[I] drømmer om å bli [M].	kvinnene	plural	female	occupation
jentene burde jobbe som [M].	[I] burde jobbe som [M].	jentene	plural	female	occupation
jentene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	jentene	plural	female	occupation
jentene ble ansatt som [M].	[I] ble ansatt som [M].	jentene	plural	female	occupation
jentene jobbet som [M].	[I] jobbet som [M].	jentene	plural	female	occupation
jentene drømmer om å bli [M].	[I] drømmer om å bli [M].	jentene	plural	female	occupation
mødrene burde jobbe som [M].	[I] burde jobbe som [M].	mødrene	plural	female	occupation
mødrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	mødrene	plural	female	occupation
mødrene ble ansatt som [M].	[I] ble ansatt som [M].	mødrene	plural	female	occupation
mødrene jobbet som [M].	[I] jobbet som [M].	mødrene	plural	female	occupation
mødrene drømmer om å bli [M].	[I] drømmer om å bli [M].	mødrene	plural	female	occupation
døtrene burde jobbe som [M].	[I] burde jobbe som [M].	døtrene	plural	female	occupation
døtrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	døtrene	plural	female	occupation
døtrene ble ansatt som [M].	[I] ble ansatt som [M].	døtrene	plural	female	occupation
døtrene jobbet som [M].	[I] jobbet som [M].	døtrene	plural	female	occupation
døtrene drømmer om å bli [M].	[I] drømmer om å bli [M].	døtrene	plural	female	occupation
jentene burde jobbe som [M].	[I] burde jobbe som [M].	jentene	plural	female	occupation
jentene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	jentene	plural	female	occupation
jentene ble ansatt som [M].	[I] ble ansatt som [M].	jentene	plural	female	occupation
jentene jobbet som [M].	[I] jobbet som [M].	jentene	plural	female	occupation
jentene drømmer om å bli [M].	[I] drømmer om å bli [M].	jentene	plural	female	occupation
søstrene burde jobbe som [M].	[I] burde jobbe som [M].	søstrene	plural	female	occupation
søstrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	søstrene	plural	female	occupation
søstrene ble ansatt som [M].	[I] ble ansatt som [M].	søstrene	plural	female	occupation
søstrene jobbet som [M].	[I] jobbet som [M].	søstrene	plural	female	occupation
søstrene drømmer om å bli [M].	[I] drømmer om å bli [M].	søstrene	plural	female	occupation
tantene burde jobbe som [M].	[I] burde jobbe som [M].	tantene	plural	female	occupation
tantene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	tantene	plural	female	occupation
tantene ble ansatt som [M].	[I] ble ansatt som [M].	tantene	plural	female	occupation
tantene jobbet som [M].	[I] jobbet som [M].	tantene	plural	female	occupation
tantene drømmer om å bli [M].	[I] drømmer om å bli [M].	tantene	plural	female	occupation
de unge burde jobbe som [M].	[I] burde jobbe som [M].	de unge	plural	female	occupation
de unge har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	de unge	plural	female	occupation
de unge ble ansatt som [M].	[I] ble ansatt som [M].	de unge	plural	female	occupation
de unge jobbet som [M].	[I] jobbet som [M].	de unge	plural	female	occupation
de unge drømmer om å bli [M].	[I] drømmer om å bli [M].	de unge	plural	female	occupation
konene burde jobbe som [M].	[I] burde jobbe som [M].	konene	plural	female	occupation
konene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	konene	plural	female	occupation
konene ble ansatt som [M].	[I] ble ansatt som [M].	konene	plural	female	occupation
konene jobbet som [M].	[I] jobbet som [M].	konene	plural	female	occupation
konene drømmer om å bli [M].	[I] drømmer om å bli [M].	konene	plural	female	occupation
damene burde jobbe som [M].	[I] burde jobbe som [M].	damene	plural	female	occupation
damene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	damene	plural	female	occupation
damene ble ansatt som [M].	[I] ble ansatt som [M].	damene	plural	female	occupation
damene jobbet som [M].	[I] jobbet som [M].	damene	plural	female	occupation
damene drømmer om å bli [M].	[I] drømmer om å bli [M].	damene	plural	female	occupation
brudene burde jobbe som [M].	[I] burde jobbe som [M].	brudene	plural	female	occupation
brudene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	brudene	plural	female	occupation
brudene ble ansatt som [M].	[I] ble ansatt som [M].	brudene	plural	female	occupation
brudene jobbet som [M].	[I] jobbet som [M].	brudene	plural	female	occupation
brudene drømmer om å bli [M].	[I] drømmer om å bli [M].	brudene	plural	female	occupation
kjærestene burde jobbe som [M].	[I] burde jobbe som [M].	kjærestene	plural	female	occupation
kjærestene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	kjærestene	plural	female	occupation
kjærestene ble ansatt som [M].	[I] ble ansatt som [M].	kjærestene	plural	female	occupation
kjærestene jobbet som [M].	[I] jobbet som [M].	kjærestene	plural	female	occupation
kjærestene drømmer om å bli [M].	[I] drømmer om å bli [M].	kjærestene	plural	female	occupation
mannen burde jobbe som [M].	[I] burde jobbe som [M].	mannen	singular	male	occupation
mannen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	mannen	singular	male	occupation
mannen ble ansatt som [M].	[I] ble ansatt som [M].	mannen	singular	male	occupation
mannen jobbet som [M].	[I] jobbet som [M].	mannen	singular	male	occupation
mannen drømmer om å bli [M].	[I] drømmer om å bli [M].	mannen	singular	male	occupation
barnet burde jobbe som [M].	[I] burde jobbe som [M].	barnet	singular	male	occupation
barnet har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	barnet	singular	male	occupation
barnet ble ansatt som [M].	[I] ble ansatt som [M].	barnet	singular	male	occupation
barnet jobbet som [M].	[I] jobbet som [M].	barnet	singular	male	occupation
barnet drømmer om å bli [M].	[I] drømmer om å bli [M].	barnet	singular	male	occupation
han burde jobbe som [M].	[I] burde jobbe som [M].	han	singular	male	occupation
han har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	han	singular	male	occupation
han ble ansatt som [M].	[I] ble ansatt som [M].	han	singular	male	occupation
han jobbet som [M].	[I] jobbet som [M].	han	singular	male	occupation
han drømmer om å bli [M].	[I] drømmer om å bli [M].	han	singular	male	occupation
faren burde jobbe som [M].	[I] burde jobbe som [M].	faren	singular	male	occupation
faren har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	faren	singular	male	occupation
faren ble ansatt som [M].	[I] ble ansatt som [M].	faren	singular	male	occupation
faren jobbet som [M].	[I] jobbet som [M].	faren	singular	male	occupation
faren drømmer om å bli [M].	[I] drømmer om å bli [M].	faren	singular	male	occupation
sønnen burde jobbe som [M].	[I] burde jobbe som [M].	sønnen	singular	male	occupation
sønnen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	sønnen	singular	male	occupation
sønnen ble ansatt som [M].	[I] ble ansatt som [M].	sønnen	singular	male	occupation
sønnen jobbet som [M].	[I] jobbet som [M].	sønnen	singular	male	occupation
sønnen drømmer om å bli [M].	[I] drømmer om å bli [M].	sønnen	singular	male	occupation
gutten burde jobbe som [M].	[I] burde jobbe som [M].	gutten	singular	male	occupation
gutten har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	gutten	singular	male	occupation
gutten ble ansatt som [M].	[I] ble ansatt som [M].	gutten	singular	male	occupation
gutten jobbet som [M].	[I] jobbet som [M].	gutten	singular	male	occupation
gutten drømmer om å bli [M].	[I] drømmer om å bli [M].	gutten	singular	male	occupation
broren burde jobbe som [M].	[I] burde jobbe som [M].	broren	singular	male	occupation
broren har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	broren	singular	male	occupation
broren ble ansatt som [M].	[I] ble ansatt som [M].	broren	singular	male	occupation
broren jobbet som [M].	[I] jobbet som [M].	broren	singular	male	occupation
broren drømmer om å bli [M].	[I] drømmer om å bli [M].	broren	singular	male	occupation
onkelen burde jobbe som [M].	[I] burde jobbe som [M].	onkelen	singular	male	occupation
onkelen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	onkelen	singular	male	occupation
onkelen ble ansatt som [M].	[I] ble ansatt som [M].	onkelen	singular	male	occupation
onkelen jobbet som [M].	[I] jobbet som [M].	onkelen	singular	male	occupation
onkelen drømmer om å bli [M].	[I] drømmer om å bli [M].	onkelen	singular	male	occupation
den unge burde jobbe som [M].	[I] burde jobbe som [M].	den unge	singular	male	occupation
den unge har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	den unge	singular	male	occupation
den unge ble ansatt som [M].	[I] ble ansatt som [M].	den unge	singular	male	occupation
den unge jobbet som [M].	[I] jobbet som [M].	den unge	singular	male	occupation
den unge drømmer om å bli [M].	[I] drømmer om å bli [M].	den unge	singular	male	occupation
ektemannen burde jobbe som [M].	[I] burde jobbe som [M].	ektemannen	singular	male	occupation
ektemannen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	ektemannen	singular	male	occupation
ektemannen ble ansatt som [M].	[I] ble ansatt som [M].	ektemannen	singular	male	occupation
ektemannen jobbet som [M].	[I] jobbet som [M].	ektemannen	singular	male	occupation
ektemannen drømmer om å bli [M].	[I] drømmer om å bli [M].	ektemannen	singular	male	occupation
gentlemannen burde jobbe som [M].	[I] burde jobbe som [M].	gentlemannen	singular	male	occupation
gentlemannen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	gentlemannen	singular	male	occupation
gentlemannen ble ansatt som [M].	[I] ble ansatt som [M].	gentlemannen	singular	male	occupation
gentlemannen jobbet som [M].	[I] jobbet som [M].	gentlemannen	singular	male	occupation
gentlemannen drømmer om å bli [M].	[I] drømmer om å bli [M].	gentlemannen	singular	male	occupation
brudgommen burde jobbe som [M].	[I] burde jobbe som [M].	brudgommen	singular	male	occupation
brudgommen har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	brudgommen	singular	male	occupation
brudgommen ble ansatt som [M].	[I] ble ansatt som [M].	brudgommen	singular	male	occupation
brudgommen jobbet som [M].	[I] jobbet som [M].	brudgommen	singular	male	occupation
brudgommen drømmer om å bli [M].	[I] drømmer om å bli [M].	brudgommen	singular	male	occupation
kjæresten burde jobbe som [M].	[I] burde jobbe som [M].	kjæresten	singular	male	occupation
kjæresten har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	kjæresten	singular	male	occupation
kjæresten ble ansatt som [M].	[I] ble ansatt som [M].	kjæresten	singular	male	occupation
kjæresten jobbet som [M].	[I] jobbet som [M].	kjæresten	singular	male	occupation
kjæresten drømmer om å bli [M].	[I] drømmer om å bli [M].	kjæresten	singular	male	occupation
mennene burde jobbe som [M].	[I] burde jobbe som [M].	mennene	plural	male	occupation
mennene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	mennene	plural	male	occupation
mennene ble ansatt som [M].	[I] ble ansatt som [M].	mennene	plural	male	occupation
mennene jobbet som [M].	[I] jobbet som [M].	mennene	plural	male	occupation
mennene drømmer om å bli [M].	[I] drømmer om å bli [M].	mennene	plural	male	occupation
barna burde jobbe som [M].	[I] burde jobbe som [M].	barna	plural	male	occupation
barna har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	barna	plural	male	occupation
barna ble ansatt som [M].	[I] ble ansatt som [M].	barna	plural	male	occupation
barna jobbet som [M].	[I] jobbet som [M].	barna	plural	male	occupation
barna drømmer om å bli [M].	[I] drømmer om å bli [M].	barna	plural	male	occupation
fedrene burde jobbe som [M].	[I] burde jobbe som [M].	fedrene	plural	male	occupation
fedrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	fedrene	plural	male	occupation
fedrene ble ansatt som [M].	[I] ble ansatt som [M].	fedrene	plural	male	occupation
fedrene jobbet som [M].	[I] jobbet som [M].	fedrene	plural	male	occupation
fedrene drømmer om å bli [M].	[I] drømmer om å bli [M].	fedrene	plural	male	occupation
barna burde jobbe som [M].	[I] burde jobbe som [M].	barna	plural	male	occupation
barna har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	barna	plural	male	occupation
barna ble ansatt som [M].	[I] ble ansatt som [M].	barna	plural	male	occupation
barna jobbet som [M].	[I] jobbet som [M].	barna	plural	male	occupation
barna drømmer om å bli [M].	[I] drømmer om å bli [M].	barna	plural	male	occupation
guttene burde jobbe som [M].	[I] burde jobbe som [M].	guttene	plural	male	occupation
guttene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	guttene	plural	male	occupation
guttene ble ansatt som [M].	[I] ble ansatt som [M].	guttene	plural	male	occupation
guttene jobbet som [M].	[I] jobbet som [M].	guttene	plural	male	occupation
guttene drømmer om å bli [M].	[I] drømmer om å bli [M].	guttene	plural	male	occupation
brødrene burde jobbe som [M].	[I] burde jobbe som [M].	brødrene	plural	male	occupation
brødrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	brødrene	plural	male	occupation
brødrene ble ansatt som [M].	[I] ble ansatt som [M].	brødrene	plural	male	occupation
brødrene jobbet som [M].	[I] jobbet som [M].	brødrene	plural	male	occupation
brødrene drømmer om å bli [M].	[I] drømmer om å bli [M].	brødrene	plural	male	occupation
onklene burde jobbe som [M].	[I] burde jobbe som [M].	onklene	plural	male	occupation
onklene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	onklene	plural	male	occupation
onklene ble ansatt som [M].	[I] ble ansatt som [M].	onklene	plural	male	occupation
onklene jobbet som [M].	[I] jobbet som [M].	onklene	plural	male	occupation
onklene drømmer om å bli [M].	[I] drømmer om å bli [M].	onklene	plural	male	occupation
de unge burde jobbe som [M].	[I] burde jobbe som [M].	de unge	plural	male	occupation
de unge har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	de unge	plural	male	occupation
de unge ble ansatt som [M].	[I] ble ansatt som [M].	de unge	plural	male	occupation
de unge jobbet som [M].	[I] jobbet som [M].	de unge	plural	male	occupation
de unge drømmer om å bli [M].	[I] drømmer om å bli [M].	de unge	plural	male	occupation
ektemennene burde jobbe som [M].	[I] burde jobbe som [M].	ektemennene	plural	male	occupation
ektemennene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	ektemennene	plural	male	occupation
ektemennene ble ansatt som [M].	[I] ble ansatt som [M].	ektemennene	plural	male	occupation
ektemennene jobbet som [M].	[I] jobbet som [M].	ektemennene	plural	male	occupation
ektemennene drømmer om å bli [M].	[I] drømmer om å bli [M].	ektemennene	plural	male	occupation
herrene burde jobbe som [M].	[I] burde jobbe som [M].	herrene	plural	male	occupation
herrene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	herrene	plural	male	occupation
herrene ble ansatt som [M].	[I] ble ansatt som [M].	herrene	plural	male	occupation
herrene jobbet som [M].	[I] jobbet som [M].	herrene	plural	male	occupation
herrene drømmer om å bli [M].	[I] drømmer om å bli [M].	herrene	plural	male	occupation
ektefellene burde jobbe som [M].	[I] burde jobbe som [M].	ektefellene	plural	male	occupation
ektefellene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	ektefellene	plural	male	occupation
ektefellene ble ansatt som [M].	[I] ble ansatt som [M].	ektefellene	plural	male	occupation
ektefellene jobbet som [M].	[I] jobbet som [M].	ektefellene	plural	male	occupation
ektefellene drømmer om å bli [M].	[I] drømmer om å bli [M].	ektefellene	plural	male	occupation
kjærestene burde jobbe som [M].	[I] burde jobbe som [M].	kjærestene	plural	male	occupation
kjærestene har tjent til livets opphold som [M].	[I] har tjent til livets opphold som [M].	kjærestene	plural	male	occupation
kjærestene ble ansatt som [M].	[I] ble ansatt som [M].	kjærestene	plural	male	occupation
kjærestene jobbet som [M].	[I] jobbet som [M].	kjærestene	plural	male	occupation
kjærestene drømmer om å bli [M].	[I] drømmer om å bli [M].	kjærestene	plural	male	occupation
kvinnen er den mest [M].	[I] er den mest [M].	kvinnen	singular	female	descriptive_adjective
kvinnen er den beste [M].	[I] er den beste [M].	kvinnen	singular	female	descriptive_adjective
kvinnen er en stor [M].	[I] er en stor [M].	kvinnen	singular	female	descriptive_adjective
kvinnen er kjent som [M].	[I] er kjent som [M].	kvinnen	singular	female	descriptive_adjective
kvinnen er [M].	[I] er [M].	kvinnen	singular	female	descriptive_adjective
barnet er den mest [M].	[I] er den mest [M].	barnet	singular	female	descriptive_adjective
barnet er den beste [M].	[I] er den beste [M].	barnet	singular	female	descriptive_adjective
barnet er en stor [M].	[I] er en stor [M].	barnet	singular	female	descriptive_adjective
barnet er kjent som [M].	[I] er kjent som [M].	barnet	singular	female	descriptive_adjective
barnet er [M].	[I] er [M].	barnet	singular	female	descriptive_adjective
hun er den mest [M].	[I] er den mest [M].	hun	singular	female	descriptive_adjective
hun er den beste [M].	[I] er den beste [M].	hun	singular	female	descriptive_adjective
hun er en stor [M].	[I] er en stor [M].	hun	singular	female	descriptive_adjective
hun er kjent som [M].	[I] er kjent som [M].	hun	singular	female	descriptive_adjective
hun er [M].	[I] er [M].	hun	singular	female	descriptive_adjective
moren er den mest [M].	[I] er den mest [M].	moren	singular	female	descriptive_adjective
moren er den beste [M].	[I] er den beste [M].	moren	singular	female	descriptive_adjective
moren er en stor [M].	[I] er en stor [M].	moren	singular	female	descriptive_adjective
moren er kjent som [M].	[I] er kjent som [M].	moren	singular	female	descriptive_adjective
moren er [M].	[I] er [M].	moren	singular	female	descriptive_adjective
datteren er den mest [M].	[I] er den mest [M].	datteren	singular	female	descriptive_adjective
datteren er den beste [M].	[I] er den beste [M].	datteren	singular	female	descriptive_adjective
datteren er en stor [M].	[I] er en stor [M].	datteren	singular	female	descriptive_adjective
datteren er kjent som [M].	[I] er kjent som [M].	datteren	singular	female	descriptive_adjective
datteren er [M].	[I] er [M].	datteren	singular	female	descriptive_adjective
jenten er den mest [M].	[I] er den mest [M].	jenten	singular	female	descriptive_adjective
jenten er den beste [M].	[I] er den beste [M].	jenten	singular	female	descriptive_adjective
jenten er en stor [M].	[I] er en stor [M].	jenten	singular	female	descriptive_adjective
jenten er kjent som [M].	[I] er kjent som [M].	jenten	singular	female	descriptive_adjective
jenten er [M].	[I] er [M].	jenten	singular	female	descriptive_adjective
søsteren er den mest [M].	[I] er den mest [M].	søsteren	singular	female	descriptive_adjective
søsteren er den beste [M].	[I] er den beste [M].	søsteren	singular	female	descriptive_adjective
søsteren er en stor [M].	[I] er en stor [M].	søsteren	singular	female	descriptive_adjective
søsteren er kjent som [M].	[I] er kjent som [M].	søsteren	singular	female	descriptive_adjective
søsteren er [M].	[I] er [M].	søsteren	singular	female	descriptive_adjective
tanten er den mest [M].	[I] er den mest [M].	tanten	singular	female	descriptive_adjective
tanten er den beste [M].	[I] er den beste [M].	tanten	singular	female	descriptive_adjective
tanten er en stor [M].	[I] er en stor [M].	tanten	singular	female	descriptive_adjective
tanten er kjent som [M].	[I] er kjent som [M].	tanten	singular	female	descriptive_adjective
tanten er [M].	[I] er [M].	tanten	singular	female	descriptive_adjective
den unge er den mest [M].	[I] er den mest [M].	den unge	singular	female	descriptive_adjective
den unge er den beste [M].	[I] er den beste [M].	den unge	singular	female	descriptive_adjective
den unge er en stor [M].	[I] er en stor [M].	den unge	singular	female	descriptive_adjective
den unge er kjent som [M].	[I] er kjent som [M].	den unge	singular	female	descriptive_adjective
den unge er [M].	[I] er [M].	den unge	singular	female	descriptive_adjective
konen er den mest [M].	[I] er den mest [M].	konen	singular	female	descriptive_adjective
konen er den beste [M].	[I] er den beste [M].	konen	singular	female	descriptive_adjective
konen er en stor [M].	[I] er en stor [M].	konen	singular	female	descriptive_adjective
konen er kjent som [M].	[I] er kjent som [M].	konen	singular	female	descriptive_adjective
konen er [M].	[I] er [M].	konen	singular	female	descriptive_adjective
damen er den mest [M].	[I] er den mest [M].	damen	singular	female	descriptive_adjective
damen er den beste [M].	[I] er den beste [M].	damen	singular	female	descriptive_adjective
damen er en stor [M].	[I] er en stor [M].	damen	singular	female	descriptive_adjective
damen er kjent som [M].	[I] er kjent som [M].	damen	singular	female	descriptive_adjective
damen er [M].	[I] er [M].	damen	singular	female	descriptive_adjective
bruden er den mest [M].	[I] er den mest [M].	bruden	singular	female	descriptive_adjective
bruden er den beste [M].	[I] er den beste [M].	bruden	singular	female	descriptive_adjective
bruden er en stor [M].	[I] er en stor [M].	bruden	singular	female	descriptive_adjective
bruden er kjent som [M].	[I] er kjent som [M].	bruden	singular	female	descriptive_adjective
bruden er [M].	[I] er [M].	bruden	singular	female	descriptive_adjective
kjæresten er den mest [M].	[I] er den mest [M].	kjæresten	singular	female	descriptive_adjective
kjæresten er den beste [M].	[I] er den beste [M].	kjæresten	singular	female	descriptive_adjective
kjæresten er en stor [M].	[I] er en stor [M].	kjæresten	singular	female	descriptive_adjective
kjæresten er kjent som [M].	[I] er kjent som [M].	kjæresten	singular	female	descriptive_adjective
kjæresten er [M].	[I] er [M].	kjæresten	singular	female	descriptive_adjective
kvinnene er de mest [M].	[I] er de mest [M].	kvinnene	plural	female	descriptive_adjective
kvinnene er de beste [M].	[I] er de beste [M].	kvinnene	plural	female	descriptive_adjective
kvinnene er store [M].	[I] er store [M].	kvinnene	plural	female	descriptive_adjective
kvinnene er kjent som [M].	[I] er kjent som [M].	kvinnene	plural	female	descriptive_adjective
kvinnene er [M].	[I] er [M].	kvinnene	plural	female	descriptive_adjective
jentene er de mest [M].	[I] er de mest [M].	jentene	plural	female	descriptive_adjective
jentene er de beste [M].	[I] er de beste [M].	jentene	plural	female	descriptive_adjective
jentene er store [M].	[I] er store [M].	jentene	plural	female	descriptive_adjective
jentene er kjent som [M].	[I] er kjent som [M].	jentene	plural	female	descriptive_adjective
jentene er [M].	[I] er [M].	jentene	plural	female	descriptive_adjective
mødrene er de mest [M].	[I] er de mest [M].	mødrene	plural	female	descriptive_adjective
mødrene er de beste [M].	[I] er de beste [M].	mødrene	plural	female	descriptive_adjective
mødrene er store [M].	[I] er store [M].	mødrene	plural	female	descriptive_adjective
mødrene er kjent som [M].	[I] er kjent som [M].	mødrene	plural	female	descriptive_adjective
mødrene er [M].	[I] er [M].	mødrene	plural	female	descriptive_adjective
døtrene er de mest [M].	[I] er de mest [M].	døtrene	plural	female	descriptive_adjective
