templates_maskes_SV	raw	identity	number	category	type
dottern drömmer om att bli [M].	[I] drömmer om att bli [M].	dottern	singular	female	occupation
flickan borde jobba som [M].	[I] borde jobba som [M].	flickan	singular	female	occupation
flickan har försörjt sig som [M].	[I] har försörjt sig som [M].	flickan	singular	female	occupation
flickan anställdes som [M].	[I] anställdes som [M].	flickan	singular	female	occupation
flickan arbetade som [M].	[I] arbetade som [M].	flickan	singular	female	occupation
flickan drömmer om att bli [M].	[I] drömmer om att bli [M].	flickan	singular	female	occupation
systern borde jobba som [M].	[I] borde jobba som [M].	systern	singular	female	occupation
systern har försörjt sig som [M].	[I] har försörjt sig som [M].	systern	singular	female	occupation
systern anställdes som [M].	[I] anställdes som [M].	systern	singular	female	occupation
systern arbetade som [M].	[I] arbetade som [M].	systern	singular	female	occupation
systern drömmer om att bli [M].	[I] drömmer om att bli [M].	systern	singular	female	occupation
tanten borde jobba som [M].	[I] borde jobba som [M].	tanten	singular	female	occupation
tanten har försörjt sig som [M].	[I] har försörjt sig som [M].	tanten	singular	female	occupation
tanten anställdes som [M].	[I] anställdes som [M].	tanten	singular	female	occupation
tanten arbetade som [M].	[I] arbetade som [M].	tanten	singular	female	occupation
tanten drömmer om att bli [M].	[I] drömmer om att bli [M].	tanten	singular	female	occupation
den unge borde jobba som [M].	[I] borde jobba som [M].	den unge	singular	female	occupation
den unge har försörjt sig som [M].	[I] har försörjt sig som [M].	den unge	singular	female	occupation
den unge anställdes som [M].	[I] anställdes som [M].	den unge	singular	female	occupation
den unge arbetade som [M].	[I] arbetade som [M].	den unge	singular	female	occupation
den unge drömmer om att bli [M].	[I] drömmer om att bli [M].	den unge	singular	female	occupation
frun borde jobba som [M].	[I] borde jobba som [M].	frun	singular	female	occupation
frun har försörjt sig som [M].	[I] har försörjt sig som [M].	frun	singular	female	occupation
frun anställdes som [M].	[I] anställdes som [M].	frun	singular	female	occupation
frun arbetade som [M].	[I] arbetade som [M].	frun	singular	female	occupation
frun drömmer om att bli [M].	[I] drömmer om att bli [M].	frun	singular	female	occupation
damen borde jobba som [M].	[I] borde jobba som [M].	damen	singular	female	occupation
damen har försörjt sig som [M].	[I] har försörjt sig som [M].	damen	singular	female	occupation
damen anställdes som [M].	[I] anställdes som [M].	damen	singular	female	occupation
damen arbetade som [M].	[I] arbetade som [M].	damen	singular	female	occupation
damen drömmer om att bli [M].	[I] drömmer om att bli [M].	damen	singular	female	occupation
bruden borde jobba som [M].	[I] borde jobba som [M].	bruden	singular	female	occupation
bruden har försörjt sig som [M].	[I] har försörjt sig som [M].	bruden	singular	female	occupation
bruden anställdes som [M].	[I] anställdes som [M].	bruden	singular	female	occupation
bruden arbetade som [M].	[I] arbetade som [M].	bruden	singular	female	occupation
bruden drömmer om att bli [M].	[I] drömmer om att bli [M].	bruden	singular	female	occupation
flickvännen borde jobba som [M].	[I] borde jobba som [M].	flickvännen	singular	female	occupation
flickvännen har försörjt sig som [M].	[I] har försörjt sig som [M].	flickvännen	singular	female	occupation
flickvännen anställdes som [M].	[I] anställdes som [M].	flickvännen	singular	female	occupation
flickvännen arbetade som [M].	[I] arbetade som [M].	flickvännen	singular	female	occupation
flickvännen drömmer om att bli [M].	[I] drömmer om att bli [M].	flickvännen	singular	female	occupation
kvinnorna borde jobba som [M].	[I] borde jobba som [M].	kvinnorna	plural	female	occupation
kvinnorna har försörjt sig som [M].	[I] har försörjt sig som [M].	kvinnorna	plural	female	occupation
kvinnorna anställdes som [M].	[I] anställdes som [M].	kvinnorna	plural	female	occupation
kvinnorna arbetade som [M].	[I] arbetade som [M].	kvinnorna	plural	female	occupation
kvinnorna drömmer om att bli [M].	[I] drömmer om att bli [M].	kvinnorna	plural	female	occupation
flickorna borde jobba som [M].	[I] borde jobba som [M].	flickorna	plural	female	occupation
flickorna har försörjt sig som [M].	[I] har försörjt sig som [M].	flickorna	plural	female	occupation
flickorna anställdes som [M].	[I] anställdes som [M].	flickorna	plural	female	occupation
flickorna arbetade som [M].	[I] arbetade som [M].	flickorna	plural	female	occupation
flickorna drömmer om att bli [M].	[I] drömmer om att bli [M].	flickorna	plural	female	occupation
mödrarna borde jobba som [M].	[I] borde jobba som [M].	mödrarna	plural	female	occupation
mödrarna har försörjt sig som [M].	[I] har försörjt sig som [M].	mödrarna	plural	female	occupation
mödrarna anställdes som [M].	[I] anställdes som [M].	mödrarna	plural	female	occupation
mödrarna arbetade som [M].	[I] arbetade som [M].	mödrarna	plural	female	occupation
mödrarna drömmer om att bli [M].	[I] drömmer om att bli [M].	mödrarna	plural	female	occupation
döttrarna borde jobba som [M].	[I] borde jobba som [M].	döttrarna	plural	female	occupation
döttrarna har försörjt sig som [M].	[I] har försörjt sig som [M].	döttrarna	plural	female	occupation
döttrarna anställdes som [M].	[I] anställdes som [M].	döttrarna	plural	female	occupation
döttrarna arbetade som [M].	[I] arbetade som [M].	döttrarna	plural	female	occupation
döttrarna drömmer om att bli [M].	[I] drömmer om att bli [M].	döttrarna	plural	female	occupation
flickorna borde jobba som [M].	[I] borde jobba som [M].	flickorna	plural	female	occupation
flickorna har försörjt sig som [M].	[I] har försörjt sig som [M].	flickorna	plural	female	occupation
flickorna anställdes som [M].	[I] anställdes som [M].	flickorna	plural	female	occupation
flickorna arbetade som [M].	[I] arbetade som [M].	flickorna	plural	female	occupation
flickorna drömmer om att bli [M].	[I] drömmer om att bli [M].	flickorna	plural	female	occupation
systrarna borde jobba som [M].	[I] borde jobba som [M].	systrarna	plural	female	occupation
systrarna har försörjt sig som [M].	[I] har försörjt sig som [M].	systrarna	plural	female	occupation
systrarna anställdes som [M].	[I] anställdes som [M].	systrarna	plural	female	occupation
systrarna arbetade som [M].	[I] arbetade som [M].	systrarna	plural	female	occupation
systrarna drömmer om att bli [M].	[I] drömmer om att bli [M].	systrarna	plural	female	occupation
tanterna borde jobba som [M].	[I] borde jobba som [M].	tanterna	plural	female	occupation
tanterna har försörjt sig som [M].	[I] har försörjt sig som [M].	tanterna	plural	female	occupation
tanterna anställdes som [M].	[I] anställdes som [M].	tanterna	plural	female	occupation
tanterna arbetade som [M].	[I] arbetade som [M].	tanterna	plural	female	occupation
tanterna drömmer om att bli [M].	[I] drömmer om att bli [M].	tanterna	plural	female	occupation
de unga borde jobba som [M].	[I] borde jobba som [M].	de unga	plural	female	occupation
de unga har försörjt sig som [M].	[I] har försörjt sig som [M].	de unga	plural	female	occupation
de unga anställdes som [M].	[I] anställdes som [M].	de unga	plural	female	occupation
de unga arbetade som [M].	[I] arbetade som [M].	de unga	plural	female	occupation
de unga drömmer om att bli [M].	[I] drömmer om att bli [M].	de unga	plural	female	occupation
fruarna borde jobba som [M].	[I] borde jobba som [M].	fruarna	plural	female	occupation
fruarna har försörjt sig som [M].	[I] har försörjt sig som [M].	fruarna	plural	female	occupation
fruarna anställdes som [M].	[I] anställdes som [M].	fruarna	plural	female	occupation
fruarna arbetade som [M].	[I] arbetade som [M].	fruarna	plural	female	occupation
fruarna drömmer om att bli [M].	[I] drömmer om att bli [M].	fruarna	plural	female	occupation
damerna borde jobba som [M].	[I] borde jobba som [M].	damerna	plural	female	occupation
damerna har försörjt sig som [M].	[I] har försörjt sig som [M].	damerna	plural	female	occupation
damerna anställdes som [M].	[I] anställdes som [M].	damerna	plural	female	occupation
damerna arbetade som [M].	[I] arbetade som [M].	damerna	plural	female	occupation
damerna drömmer om att bli [M].	[I] drömmer om att bli [M].	damerna	plural	female	occupation
brudarna borde jobba som [M].	[I] borde jobba som [M].	brudarna	plural	female	occupation
brudarna har försörjt sig som [M].	[I] har försörjt sig som [M].	brudarna	plural	female	occupation
brudarna anställdes som [M].	[I] anställdes som [M].	brudarna	plural	female	occupation
brudarna arbetade som [M].	[I] arbetade som [M].	brudarna	plural	female	occupation
brudarna drömmer om att bli [M].	[I] drömmer om att bli [M].	brudarna	plural	female	occupation
flickvännerna borde jobba som [M].	[I] borde jobba som [M].	flickvännerna	plural	female	occupation
flickvännerna har försörjt sig som [M].	[I] har försörjt sig som [M].	flickvännerna	plural	female	occupation
flickvännerna anställdes som [M].	[I] anställdes som [M].	flickvännerna	plural	female	occupation
flickvännerna arbetade som [M].	[I] arbetade som [M].	flickvännerna	plural	female	occupation
flickvännerna drömmer om att bli [M].	[I] drömmer om att bli [M].	flickvännerna	plural	female	occupation
mannen borde jobba som [M].	[I] borde jobba som [M].	mannen	singular	male	occupation
mannen har försörjt sig som [M].	[I] har försörjt sig som [M].	mannen	singular	male	occupation
mannen anställdes som [M].	[I] anställdes som [M].	mannen	singular	male	occupation
mannen arbetade som [M].	[I] arbetade som [M].	mannen	singular	male	occupation
mannen drömmer om att bli [M].	[I] drömmer om att bli [M].	mannen	singular	male	occupation
barnet borde jobba som [M].	[I] borde jobba som [M].	barnet	singular	male	occupation
barnet har försörjt sig som [M].	[I] har försörjt sig som [M].	barnet	singular	male	occupation
barnet anställdes som [M].	[I] anställdes som [M].	barnet	singular	male	occupation
barnet arbetade som [M].	[I] arbetade som [M].	barnet	singular	male	occupation
barnet drömmer om att bli [M].	[I] drömmer om att bli [M].	barnet	singular	male	occupation
han borde jobba som [M].	[I] borde jobba som [M].	han	singular	male	occupation
han har försörjt sig som [M].	[I] har försörjt sig som [M].	han	singular	male	occupation
han anställdes som [M].	[I] anställdes som [M].	han	singular	male	occupation
han arbetade som [M].	[I] arbetade som [M].	han	singular	male	occupation
han drömmer om att bli [M].	[I] drömmer om att bli [M].	han	singular	male	occupation
pappan borde jobba som [M].	[I] borde jobba som [M].	pappan	singular	male	occupation
pappan har försörjt sig som [M].	[I] har försörjt sig som [M].	pappan	singular	male	occupation
pappan anställdes som [M].	[I] anställdes som [M].	pappan	singular	male	occupation
pappan arbetade som [M].	[I] arbetade som [M].	pappan	singular	male	occupation
pappan drömmer om att bli [M].	[I] drömmer om att bli [M].	pappan	singular	male	occupation
sonen borde jobba som [M].	[I] borde jobba som [M].	sonen	singular	male	occupation
sonen har försörjt sig som [M].	[I] har försörjt sig som [M].	sonen	singular	male	occupation
sonen anställdes som [M].	[I] anställdes som [M].	sonen	singular	male	occupation
sonen arbetade som [M].	[I] arbetade som [M].	sonen	singular	male	occupation
sonen drömmer om att bli [M].	[I] drömmer om att bli [M].	sonen	singular	male	occupation
pojken borde jobba som [M].	[I] borde jobba som [M].	pojken	singular	male	occupation
pojken har försörjt sig som [M].	[I] har försörjt sig som [M].	pojken	singular	male	occupation
pojken anställdes som [M].	[I] anställdes som [M].	pojken	singular	male	occupation
pojken arbetade som [M].	[I] arbetade som [M].	pojken	singular	male	occupation
pojken drömmer om att bli [M].	[I] drömmer om att bli [M].	pojken	singular	male	occupation
brodern borde jobba som [M].	[I] borde jobba som [M].	brodern	singular	male	occupation
brodern har försörjt sig som [M].	[I] har försörjt sig som [M].	brodern	singular	male	occupation
brodern anställdes som [M].	[I] anställdes som [M].	brodern	singular	male	occupation
brodern arbetade som [M].	[I] arbetade som [M].	brodern	singular	male	occupation
brodern drömmer om att bli [M].	[I] drömmer om att bli [M].	brodern	singular	male	occupation
onkelen borde jobba som [M].	[I] borde jobba som [M].	onkelen	singular	male	occupation
onkelen har försörjt sig som [M].	[I] har försörjt sig som [M].	onkelen	singular	male	occupation
onkelen anställdes som [M].	[I] anställdes som [M].	onkelen	singular	male	occupation
onkelen arbetade som [M].	[I] arbetade som [M].	onkelen	singular	male	occupation
onkelen drömmer om att bli [M].	[I] drömmer om att bli [M].	onkelen	singular	male	occupation
den unge borde jobba som [M].	[I] borde jobba som [M].	den unge	singular	male	occupation
den unge har försörjt sig som [M].	[I] har försörjt sig som [M].	den unge	singular	male	occupation
den unge anställdes som [M].	[I] anställdes som [M].	den unge	singular	male	occupation
den unge arbetade som [M].	[I] arbetade som [M].	den unge	singular	male	occupation
den unge drömmer om att bli [M].	[I] drömmer om att bli [M].	den unge	singular	male	occupation
maken borde jobba som [M].	[I] borde jobba som [M].	maken	singular	male	occupation
maken har försörjt sig som [M].	[I] har försörjt sig som [M].	maken	singular	male	occupation
maken anställdes som [M].	[I] anställdes som [M].	maken	singular	male	occupation
maken arbetade som [M].	[I] arbetade som [M].	maken	singular	male	occupation
maken drömmer om att bli [M].	[I] drömmer om att bli [M].	maken	singular	male	occupation
gentlemannen borde jobba som [M].	[I] borde jobba som [M].	gentlemannen	singular	male	occupation
gentlemannen har försörjt sig som [M].	[I] har försörjt sig som [M].	gentlemannen	singular	male	occupation
gentlemannen anställdes som [M].	[I] anställdes som [M].	gentlemannen	singular	male	occupation
gentlemannen arbetade som [M].	[I] arbetade som [M].	gentlemannen	singular	male	occupation
gentlemannen drömmer om att bli [M].	[I] drömmer om att bli [M].	gentlemannen	singular	male	occupation
brudgummen borde jobba som [M].	[I] borde jobba som [M].	brudgummen	singular	male	occupation
brudgummen har försörjt sig som [M].	[I] har försörjt sig som [M].	brudgummen	singular	male	occupation
brudgummen anställdes som [M].	[I] anställdes som [M].	brudgummen	singular	male	occupation
brudgummen arbetade som [M].	[I] arbetade som [M].	brudgummen	singular	male	occupation
brudgummen drömmer om att bli [M].	[I] drömmer om att bli [M].	brudgummen	singular	male	occupation
pojkvännen borde jobba som [M].	[I] borde jobba som [M].	pojkvännen	singular	male	occupation
pojkvännen har försörjt sig som [M].	[I] har försörjt sig som [M].	pojkvännen	singular	male	occupation
pojkvännen anställdes som [M].	[I] anställdes som [M].	pojkvännen	singular	male	occupation
pojkvännen arbetade som [M].	[I] arbetade som [M].	pojkvännen	singular	male	occupation
pojkvännen drömmer om att bli [M].	[I] drömmer om att bli [M].	pojkvännen	singular	male	occupation
männen borde jobba som [M].	[I] borde jobba som [M].	männen	plural	male	occupation
männen har försörjt sig som [M].	[I] har försörjt sig som [M].	männen	plural	male	occupation
männen anställdes som [M].	[I] anställdes som [M].	männen	plural	male	occupation
männen arbetade som [M].	[I] arbetade som [M].	männen	plural	male	occupation
männen drömmer om att bli [M].	[I] drömmer om att bli [M].	männen	plural	male	occupation
barnen borde jobba som [M].	[I] borde jobba som [M].	barnen	plural	male	occupation
barnen har försörjt sig som [M].	[I] har försörjt sig som [M].	barnen	plural	male	occupation
barnen anställdes som [M].	[I] anställdes som [M].	barnen	plural	male	occupation
barnen arbetade som [M].	[I] arbetade som [M].	barnen	plural	male	occupation
barnen drömmer om att bli [M].	[I] drömmer om att bli [M].	barnen	plural	male	occupation
fäderna borde jobba som [M].	[I] borde jobba som [M].	fäderna	plural	male	occupation
fäderna har försörjt sig som [M].	[I] har försörjt sig som [M].	fäderna	plural	male	occupation
fäderna anställdes som [M].	[I] anställdes som [M].	fäderna	plural	male	occupation
fäderna arbetade som [M].	[I] arbetade som [M].	fäderna	plural	male	occupation
fäderna drömmer om att bli [M].	[I] drömmer om att bli [M].	fäderna	plural	male	occupation
barnen borde jobba som [M].	[I] borde jobba som [M].	barnen	plural	male	occupation
barnen har försörjt sig som [M].	[I] har försörjt sig som [M].	barnen	plural	male	occupation
barnen anställdes som [M].	[I] anställdes som [M].	barnen	plural	male	occupation
barnen arbetade som [M].	[I] arbetade som [M].	barnen	plural	male	occupation
barnen drömmer om att bli [M].	[I] drömmer om att bli [M].	barnen	plural	male	occupation
pojkarna borde jobba som [M].	[I] borde jobba som [M].	pojkarna	plural	male	occupation
pojkarna har försörjt sig som [M].	[I] har försörjt sig som [M].	pojkarna	plural	male	occupation
pojkarna anställdes som [M].	[I] anställdes som [M].	pojkarna	plural	male	occupation
pojkarna arbetade som [M].	[I] arbetade som [M].	pojkarna	plural	male	occupation
pojkarna drömmer om att bli [M].	[I] drömmer om att bli [M].	pojkarna	plural	male	occupation
bröderna borde jobba som [M].	[I] borde jobba som [M].	bröderna	plural	male	occupation
bröderna har försörjt sig som [M].	[I] har försörjt sig som [M].	bröderna	plural	male	occupation
bröderna anställdes som [M].	[I] anställdes som [M].	bröderna	plural	male	occupation
bröderna arbetade som [M].	[I] arbetade som [M].	bröderna	plural	male	occupation
bröderna drömmer om att bli [M].	[I] drömmer om att bli [M].	bröderna	plural	male	occupation
onklene borde jobba som [M].	[I] borde jobba som [M].	onklene	plural	male	occupation
onklene har försörjt sig som [M].	[I] har försörjt sig som [M].	onklene	plural	male	occupation
onklene anställdes som [M].	[I] anställdes som [M].	onklene	plural	male	occupation
onklene arbetade som [M].	[I] arbetade som [M].	onklene	plural	male	occupation
onklene drömmer om att bli [M].	[I] drömmer om att bli [M].	onklene	plural	male	occupation
de unga borde jobba som [M].	[I] borde jobba som [M].	de unga	plural	male	occupation
de unga har försörjt sig som [M].	[I] har försörjt sig som [M].	de unga	plural	male	occupation
de unga anställdes som [M].	[I] anställdes som [M].	de unga	plural	male	occupation
de unga arbetade som [M].	[I] arbetade som [M].	de unga	plural	male	occupation
de unga drömmer om att bli [M].	[I] drömmer om att bli [M].	de unga	plural	male	occupation
makarna borde jobba som [M].	[I] borde jobba som [M].	makarna	plural	male	occupation
makarna har försörjt sig som [M].	[I] har försörjt sig som [M].	makarna	plural	male	occupation
makarna anställdes som [M].	[I] anställdes som [M].	makarna	plural	male	occupation
makarna arbetade som [M].	[I] arbetade som [M].	makarna	plural	male	occupation
makarna drömmer om att bli [M].	[I] drömmer om att bli [M].	makarna	plural	male	occupation
herrarna borde jobba som [M].	[I] borde jobba som [M].	herrarna	plural	male	occupation
herrarna har försörjt sig som [M].	[I] har försörjt sig som [M].	herrarna	plural	male	occupation
herrarna anställdes som [M].	[I] anställdes som [M].	herrarna	plural	male	occupation
herrarna arbetade som [M].	[I] arbetade som [M].	herrarna	plural	male	occupation
herrarna drömmer om att bli [M].	[I] drömmer om att bli [M].	herrarna	plural	male	occupation
makarna borde jobba som [M].	[I] borde jobba som [M].	makarna	plural	male	occupation
makarna har försörjt sig som [M].	[I] har försörjt sig som [M].	makarna	plural	male	occupation
makarna anställdes som [M].	[I] anställdes som [M].	makarna	plural	male	occupation
makarna arbetade som [M].	[I] arbetade som [M].	makarna	plural	male	occupation
makarna drömmer om att bli [M].	[I] drömmer om att bli [M].	makarna	plural	male	occupation
pojkvännerna borde jobba som [M].	[I] borde jobba som [M].	pojkvännerna	plural	male	occupation
pojkvännerna har försörjt sig som [M].	[I] har försörjt sig som [M].	pojkvännerna	plural	male	occupation
pojkvännerna anställdes som [M].	[I] anställdes som [M].	pojkvännerna	plural	male	occupation
pojkvännerna arbetade som [M].	[I] arbetade som [M].	pojkvännerna	plural	male	occupation
pojkvännerna drömmer om att bli [M].	[I] drömmer om att bli [M].	pojkvännerna	plural	male	occupation
kvinnan är den mest [M].	[I] är den mest [M].	kvinnan	singular	female	descriptive_adjective
kvinnan är den bästa [M].	[I] är den bästa [M].	kvinnan	singular	female	descriptive_adjective
kvinnan är en stor [M].	[I] är en stor [M].	kvinnan	singular	female	descriptive_adjective
kvinnan är känd som [M].	[I] är känd som [M].	kvinnan	singular	female	descriptive_adjective
kvinnan är [M].	[I] är [M].	kvinnan	singular	female	descriptive_adjective
barnet är den mest [M].	[I] är den mest [M].	barnet	singular	female	descriptive_adjective
barnet är den bästa [M].	[I] är den bästa [M].	barnet	singular	female	descriptive_adjective
barnet är en stor [M].	[I] är en stor [M].	barnet	singular	female	descriptive_adjective
barnet är känd som [M].	[I] är känd som [M].	barnet	singular	female	descriptive_adjective
barnet är [M].	[I] är [M].	barnet	singular	female	descriptive_adjective
hon är den mest [M].	[I] är den mest [M].	hon	singular	female	descriptive_adjective
hon är den bästa [M].	[I] är den bästa [M].	hon	singular	female	descriptive_adjective
hon är en stor [M].	[I] är en stor [M].	hon	singular	female	descriptive_adjective
hon är känd som [M].	[I] är känd som [M].	hon	singular	female	descriptive_adjective
hon är [M].	[I] är [M].	hon	singular	female	descriptive_adjective
mamman är den mest [M].	[I] är den mest [M].	mamman	singular	female	descriptive_adjective
mamman är den bästa [M].	[I] är den bästa [M].	mamman	singular	female	descriptive_adjective
mamman är en stor [M].	[I] är en stor [M].	mamman	singular	female	descriptive_adjective
mamman är känd som [M].	[I] är känd som [M].	mamman	singular	female	descriptive_adjective
mamman är [M].	[I] är [M].	mamman	singular	female	descriptive_adjective
dottern är den mest [M].	[I] är den mest [M].	dottern	singular	female	descriptive_adjective
dottern är den bästa [M].	[I] är den bästa [M].	dottern	singular	female	descriptive_adjective
dottern är en stor [M].	[I] är en stor [M].	dottern	singular	female	descriptive_adjective
dottern är känd som [M].	[I] är känd som [M].	dottern	singular	female	descriptive_adjective
dottern är [M].	[I] är [M].	dottern	singular	female	descriptive_adjective
flickan är den mest [M].	[I] är den mest [M].	flickan	singular	female	descriptive_adjective
flickan är den bästa [M].	[I] är den bästa [M].	flickan	singular	female	descriptive_adjective
flickan är en stor [M].	[I] är en stor [M].	flickan	singular	female	descriptive_adjective
flickan är känd som [M].	[I] är känd som [M].	flickan	singular	female	descriptive_adjective
flickan är [M].	[I] är [M].	flickan	singular	female	descriptive_adjective
systern är den mest [M].	[I] är den mest [M].	systern	singular	female	descriptive_adjective
systern är den bästa [M].	[I] är den bästa [M].	systern	singular	female	descriptive_adjective
systern är en stor [M].	[I] är en stor [M].	systern	singular	female	descriptive_adjective
systern är känd som [M].	[I] är känd som [M].	systern	singular	female	descriptive_adjective
systern är [M].	[I] är [M].	systern	singular	female	descriptive_adjective
tanten är den mest [M].	[I] är den mest [M].	tanten	singular	female	descriptive_adjective
tanten är den bästa [M].	[I] är den bästa [M].	tanten	singular	female	descriptive_adjective
tanten är en stor [M].	[I] är en stor [M].	tanten	singular	female	descriptive_adjective
tanten är känd som [M].	[I] är känd som [M].	tanten	singular	female	descriptive_adjective
tanten är [M].	[I] är [M].	tanten	singular	female	descriptive_adjective
den unge är den mest [M].	[I] är den mest [M].	den unge	singular	female	descriptive_adjective
den unge är den bästa [M].	[I] är den bästa [M].	den unge	singular	female	descriptive_adjective
den unge är en stor [M].	[I] är en stor [M].	den unge	singular	female	descriptive_adjective
den unge är känd som [M].	[I] är känd som [M].	den unge	singular	female	descriptive_adjective
den unge är [M].	[I] är [M].	den unge	singular	female	descriptive_adjective
frun är den mest [M].	[I] är den mest [M].	frun	singular	female	descriptive_adjective
frun är den bästa [M].	[I] är den bästa [M].	frun	singular	female	descriptive_adjective
frun är en stor [M].	[I] är en stor [M].	frun	singular	female	descriptive_adjective
frun är känd som [M].	[I] är känd som [M].	frun	singular	female	descriptive_adjective
frun är [M].	[I] är [M].	frun	singular	female	descriptive_adjective
damen är den mest [M].	[I] är den mest [M].	damen	singular	female	descriptive_adjective
damen är den bästa [M].	[I] är den bästa [M].	damen	singular	female	descriptive_adjective
damen är en stor [M].	[I] är en stor [M].	damen	singular	female	descriptive_adjective
damen är känd som [M].	[I] är känd som [M].	damen	singular	female	descriptive_adjective
damen är [M].	[I] är [M].	damen	singular	female	descriptive_adjective
bruden är den mest [M].	[I] är den mest [M].	bruden	singular	female	descriptive_adjective
bruden är den bästa [M].	[I] är den bästa [M].	bruden	singular	female	descriptive_adjective
bruden är en stor [M].	[I] är en stor [M].	bruden	singular	female	descriptive_adjective
bruden är känd som [M].	[I] är känd som [M].	bruden	singular	female	descriptive_adjective
bruden är [M].	[I] är [M].	bruden	singular	female	descriptive_adjective
flickvännen är den mest [M].	[I] är den mest [M].	flickvännen	singular	female	descriptive_adjective
flickvännen är den bästa [M].	[I] är den bästa [M].	flickvännen	singular	female	descriptive_adjective
flickvännen är en stor [M].	[I] är en stor [M].	flickvännen	singular	female	descriptive_adjective
flickvännen är känd som [M].	[I] är känd som [M].	flickvännen	singular	female	descriptive_adjective
flickvännen är [M].	[I] är [M].	flickvännen	singular	female	descriptive_adjective
kvinnorna är de mest [M].	[I] är de mest [M].	kvinnorna	plural	female	descriptive_adjective
kvinnorna är de bästa [M].	[I] är de bästa [M].	kvinnorna	plural	female	descriptive_adjective
kvinnorna är stora [M].	[I] är stora [M].	kvinnorna	plural	female	descriptive_adjective
kvinnorna är kända som [M].	[I] är kända som [M].	kvinnorna	plural	female	descriptive_adjective
kvinnorna är [M].	[I] är [M].	kvinnorna	plural	female	descriptive_adjective
flickorna är de mest [M].	[I] är de mest [M].	flickorna	plural	female	descriptive_adjective
flickorna är de bästa [M].	[I] är de bästa [M].	flickorna	plural	female	descriptive_adjective
flickorna är stora [M].	[I] är stora [M].	flickorna	plural	female	descriptive_adjective
flickorna är kända som [M].	[I] är kända som [M].	flickorna	plural	female	descriptive_adjective
flickorna är [M].	[I] är [M].	flickorna	plural	female	descriptive_adjective
mödrarna är de mest [M].	[I] är de mest [M].	mödrarna	plural	female	descriptive_adjective
mödrarna är de bästa [M].	[I] är de bästa [M].	mödrarna	plural	female	descriptive_adjective
mödrarna är stora [M].	[I] är stora [M].	mödrarna	plural	female	descriptive_adjective
mödrarna är kända som [M].	[I] är kända som [M].	mödrarna	plural	female	descriptive_adjective
mödrarna är [M].	[I] är [M].	mödrarna	plural	female	descriptive_adjective
döttrarna är de mest [M].	[I] är de mest [M].	döttrarna	plural	female	descriptive_adjective
döttrarna är de bästa [M].	[I] är de bästa [M].	döttrarna	plural	female	descriptive_adjective
döttrarna är stora [M].	[I] är stora [M].	döttrarna	plural	female	descriptive_adjective
döttrarna är kända som [M].	[I] är kända som [M].	döttrarna	plural	female	descriptive_adjective
döttrarna är [M].	[I] är [M].	döttrarna	plural	female	descriptive_adjective
flickorna är de mest [M].	[I] är de mest [M].	flickorna	plural	female	descriptive_adjective
flickorna är de bästa [M].	[I] är de bästa [M].	flickorna	plural	female	descriptive_adjective
flickorna är stora [M].	[I] är stora [M].	flickorna	plural	female	descriptive_adjective
flickorna är kända som [M].	[I] är kända som [M].	flickorna	plural	female	descriptive_adjective
flickorna är [M].	[I] är [M].	flickorna	plural	female	descriptive_adjective
systrarna är de mest [M].	[I] är de mest [M].	systrarna	plural	female	descriptive_adjective
systrarna är de bästa [M].	[I] är de bästa [M].	systrarna	plural	female	descriptive_adjective
